Mes y año	Mes (código)	Comarca código	Comarca nombre	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos
Octubre 2021	202110	01	La Jacetania	Hombres	Educación Primaria o inferior	10	111
Octubre 2021	202110	01	La Jacetania	Mujeres	Educación Primaria o inferior	10	98
Octubre 2021	202110	01	La Jacetania	Hombres	Primera etapa de educación secundaria	20	90
Octubre 2021	202110	01	La Jacetania	Mujeres	Primera etapa de educación secundaria	20	84
Octubre 2021	202110	01	La Jacetania	Hombres	Bachillerato	31	38
Octubre 2021	202110	01	La Jacetania	Mujeres	Bachillerato	31	57
Octubre 2021	202110	01	La Jacetania	Hombres	Enseñanza media de formación profesional	32	12
Octubre 2021	202110	01	La Jacetania	Mujeres	Enseñanza media de formación profesional	32	21
Octubre 2021	202110	01	La Jacetania	Hombres	Enseñanza superior de formación profesional	41	3
Octubre 2021	202110	01	La Jacetania	Mujeres	Enseñanza superior de formación profesional	41	7
Octubre 2021	202110	01	La Jacetania	Hombres	Enseñanza superior universitaria	42	10
Octubre 2021	202110	01	La Jacetania	Mujeres	Enseñanza superior universitaria	42	22
Octubre 2021	202110	02	Alto Gállego	Hombres	Educación Primaria o inferior	10	46
Octubre 2021	202110	02	Alto Gállego	Mujeres	Educación Primaria o inferior	10	30
Octubre 2021	202110	02	Alto Gállego	Hombres	Primera etapa de educación secundaria	20	91
Octubre 2021	202110	02	Alto Gállego	Mujeres	Primera etapa de educación secundaria	20	104
Octubre 2021	202110	02	Alto Gállego	Hombres	Bachillerato	31	27
Octubre 2021	202110	02	Alto Gállego	Mujeres	Bachillerato	31	11
Octubre 2021	202110	02	Alto Gállego	Hombres	Enseñanza media de formación profesional	32	10
Octubre 2021	202110	02	Alto Gállego	Mujeres	Enseñanza media de formación profesional	32	8
Octubre 2021	202110	02	Alto Gállego	Hombres	Enseñanza superior de formación profesional	41	15
Octubre 2021	202110	02	Alto Gállego	Mujeres	Enseñanza superior de formación profesional	41	10
Octubre 2021	202110	02	Alto Gállego	Hombres	Enseñanza superior universitaria	42	9
Octubre 2021	202110	02	Alto Gállego	Mujeres	Enseñanza superior universitaria	42	8
Octubre 2021	202110	03	Sobrarbe	Hombres	Educación Primaria o inferior	10	32
Octubre 2021	202110	03	Sobrarbe	Mujeres	Educación Primaria o inferior	10	30
Octubre 2021	202110	03	Sobrarbe	Hombres	Primera etapa de educación secundaria	20	59
Octubre 2021	202110	03	Sobrarbe	Mujeres	Primera etapa de educación secundaria	20	65
Octubre 2021	202110	03	Sobrarbe	Hombres	Bachillerato	31	46
Octubre 2021	202110	03	Sobrarbe	Mujeres	Bachillerato	31	51
Octubre 2021	202110	03	Sobrarbe	Hombres	Enseñanza media de formación profesional	32	2
Octubre 2021	202110	03	Sobrarbe	Hombres	Enseñanza superior de formación profesional	41	10
Octubre 2021	202110	03	Sobrarbe	Mujeres	Enseñanza superior de formación profesional	41	9
Octubre 2021	202110	03	Sobrarbe	Hombres	Enseñanza superior universitaria	42	5
Octubre 2021	202110	03	Sobrarbe	Mujeres	Enseñanza superior universitaria	42	4
Octubre 2021	202110	04	La Ribagorza	Hombres	Educación Primaria o inferior	10	58
Octubre 2021	202110	04	La Ribagorza	Mujeres	Educación Primaria o inferior	10	33
Octubre 2021	202110	04	La Ribagorza	Hombres	Primera etapa de educación secundaria	20	45
Octubre 2021	202110	04	La Ribagorza	Mujeres	Primera etapa de educación secundaria	20	48
Octubre 2021	202110	04	La Ribagorza	Hombres	Bachillerato	31	24
Octubre 2021	202110	04	La Ribagorza	Mujeres	Bachillerato	31	38
Octubre 2021	202110	04	La Ribagorza	Hombres	Enseñanza media de formación profesional	32	5
Octubre 2021	202110	04	La Ribagorza	Mujeres	Enseñanza media de formación profesional	32	9
Octubre 2021	202110	04	La Ribagorza	Hombres	Enseñanza superior de formación profesional	41	4
Octubre 2021	202110	04	La Ribagorza	Mujeres	Enseñanza superior de formación profesional	41	3
Octubre 2021	202110	04	La Ribagorza	Hombres	Enseñanza superior universitaria	42	14
Octubre 2021	202110	04	La Ribagorza	Mujeres	Enseñanza superior universitaria	42	3
Octubre 2021	202110	05	Cinco Villas	Hombres	Educación Primaria o inferior	10	233
Octubre 2021	202110	05	Cinco Villas	Mujeres	Educación Primaria o inferior	10	137
Octubre 2021	202110	05	Cinco Villas	Hombres	Primera etapa de educación secundaria	20	150
Octubre 2021	202110	05	Cinco Villas	Mujeres	Primera etapa de educación secundaria	20	85
Octubre 2021	202110	05	Cinco Villas	Hombres	Bachillerato	31	25
Octubre 2021	202110	05	Cinco Villas	Mujeres	Bachillerato	31	19
Octubre 2021	202110	05	Cinco Villas	Hombres	Enseñanza media de formación profesional	32	17
